"1801","Μενέλαος","Μενέλαος","Μενέλαος","4034","",""
"1817","Ἄργος","Ἄργος","Ἄργος","48723","",""
"1894","Ξενοφῶν","Ξενοφῶν","Ξενοφῶν","6380","",""
"1910","Μῆδος","Μῆδος","Μῆδος","48755","",""
"1948","Ἠλεῖος","Ἠλεῖος","Ἠλεῖος","9420","",""
"1968","Ἡρώδης","Ἡρώδης","Ἡρώδης","4585","4585",""
"1971","Εὐρώπη","Εὐρώπη","Εὐρώπη","25523","",""
"1996","Εὐριπίδης","Εὐριπίδης","Εὐριπίδης","25184","",""
"2014","Νεῖλος","Νεῖλος","Νεῖλος","4240","",""
"2032","Ἀλκιβιάδης","Ἀλκιβιάδης","Ἀλκιβιάδης","1909","",""
"2037","Θρᾷξ","Θρᾷξ","Θρᾷξ","5578","",""
"2039","Ἰωσήφ","Ἰωσήφ","Ἰωσήφ","3467","",""
"2044","Πυθαγόρας","Πυθαγόρας","Πυθαγόρας","5359","",""
"2072","Ἑβραῖος","Ἑβραῖος","Ἑβραῖος","30467","",""
"2075","Ἀρκάς","Ἀρκάς","Ἀρκάς","2304","",""
"2087","Σπάρτη","Σπάρτη","Σπάρτη","5844","",""
"2095","Σίμων","Σίμων","Σίμων","5782","",""
"2118","Ἀννίβας","Ἀννίβας","Ἀννίβας","36106","",""
"2133","Φοῖνιξ","Φοῖνιξ","Φοῖνιξ","3298","",""
"2141","Ῥόδιος","Ῥόδιος","Ῥόδιος","38527","",""
"2157","Ταῦρος","Ταῦρος","Ταῦρος","6122","",""
"2158","Αἰτωλός","Αἰτωλός","Αἰτωλός","1842","",""
"2168","Ἑλένη","Ἑλένη","Ἑλένη","4445","",""
"2170","Πόντος","Πόντος","Πόντος","11737","",""
"2200","Βροῦτος","Βροῦτος","Βροῦτος","40798","",""
"2203","Μάρκος","Μάρκος","Μάρκος","10523","",""
"2221","Αἰθίοψ","Αἰθίοψ","Αἰθίοψ","1834","",""
"2222","Ἀντίπατρος","Ἀντίπατρος","Ἀντίπατρος","2089","",""
"2227","Κρήτη","Κρήτη","Κρήτη","48829","",""
"2244","Ἰνδικός","Ἰνδικός","Ἰνδικός","30449","",""
"2250","Δίων","Δίων","Δίων","2845","",""
"2287","Ἀγησίλαος","Ἀγησίλαος","Ἀγησίλαος","4521","",""
"2291","Μιθριδάτης","Μιθριδάτης","Μιθριδάτης","4105","",""
"2298","Ξάνθος","Ξάνθος","Ξάνθος","6366","",""
"2303","Λακεδαίμων","Λακεδαίμων","Λακεδαίμων","48710","",""
"2307","Δημήτηρ","Δημήτηρ","Δημήτηρ","9148","",""
"2310","Ἀττική","Ἀττική","Ἀττική","48923","",""
"2328","Χρύσιππος","Χρύσιππος","Χρύσιππος","2648","",""
"2330","Κόρινθος","Κόρινθος","Κόρινθος","30546","",""
"2332","Σύλλας","Σύλλας","Σύλλας","12282","",""
"2354","Σκιπίων","Σκιπίων","Σκιπίων","39540","",""
"2360","Ξέρξης","Ξέρξης","Ξέρξης","16234","",""
"2368","Ἀλεξάνδρεια","Ἀλεξάνδρεια","Ἀλεξάνδρεια","46092","",""
"2372","Σπαρτιάτης","Σπαρτιάτης","Σπαρτιάτης","23407","",""
"2378","Θεμιστοκλῆς","Θεμιστοκλῆς","Θεμιστοκλῆς","5447","",""
"2380","Περικλῆς","Περικλῆς","Περικλῆς","23069","",""
"2385","Φωκεύς","Φωκεύς","Φωκεύς","16382","",""
"2400","Μεσσήνιος","Μεσσήνιος","Μεσσήνιος","49153","",""
"2401","Ἡσίοδος","Ἡσίοδος","Ἡσίοδος","4595","",""
"2426","Θεσσαλία","Θεσσαλία","Θεσσαλία","49464","",""
"2438","Ἡρόδοτος","Ἡρόδοτος","Ἡρόδοτος","4578","",""
"2468","Κάτων","Κάτων","Κάτων","19167","",""
"2469","Ἀρίσταρχος","Ἀρίσταρχος","Ἀρίσταρχος","2295","",""
"2470","Σοφοκλῆς","Σοφοκλῆς","Σοφοκλῆς","12242","",""
"2497","Βελισάριος","Βελισάριος","Βελισάριος","8988","",""
"2506","Λακωνικός","Λακωνικός","Λακωνικός","48890","",""
"2507","Λυκοῦργος","Λυκοῦργος","Λυκοῦργος","3899","",""
"2524","Θουκυδίδης","Θουκυδίδης","Θουκυδίδης","45377","",""
"2572","Σόλων","Σόλων","Σόλων","5840","",""
"2621","Σάμιος","Σάμιος","Σάμιος","23287","",""
"2627","Νέστωρ","Νέστωρ","Νέστωρ","4268","",""
"2631","Θησεύς","Θησεύς","Θησεύς","18686","",""
"2633","Σολομών","Σολομών","Σολομών","5814","",""
"2645","Δωριεύς","Δωριεύς","Δωριεύς","2877","",""
"2649","Ἔρως","Ἔρως","Ἔρως","3009","",""
"2656","Ἀπολλώνιος","Ἀπολλώνιος","Ἀπολλώνιος","1","",""
"2676","Κρής","Κρής","Κρής","34701","",""
"2705","Ἥφαιστος","Ἥφαιστος","Ἥφαιστος","21836","",""
"2709","Πρίαμος","Πρίαμος","Πρίαμος","5278","",""
"2712","Αἰσχίνης","Αἰσχίνης","Αἰσχίνης","1836","",""
"2716","Ἀσσύριος","Ἀσσύριος","Ἀσσύριος","48752","",""
"2721","Κύπρος","Κύπρος","Κύπρος","48940","",""
"2723","Λίβυς","Λίβυς","Λίβυς","3878","",""
"2733","Λεύκιος","Λεύκιος","Λεύκιος","3856","41291",""
"2742","Κριός","Κριός","Κριός","10011","",""
"2748","Περσεύς","Περσεύς","Περσεύς","7361","",""
"2753","Σάμος","Σάμος","Σάμος","35633","",""
"2762","Ῥόδος","Ῥόδος","Ῥόδος","48950","",""
"2768","Περσικός","Περσικός","Περσικός","45328","",""
"2772","Ἐμπεδοκλῆς","Ἐμπεδοκλῆς","Ἐμπεδοκλῆς","21660","",""
"2775","Ἄρατος","Ἄρατος","Ἄρατος","2192","",""
"2781","Καρκίνος","Καρκίνος","Καρκίνος","45267","",""
"2786","Ἡρακλείδης","Ἡρακλείδης","Ἡρακλείδης","4550","",""
"2793","Ἴλιος","Ἴλιος","Ἴλιος","6964","",""
"2803","Εὔβοια","Εὔβοια","Εὔβοια","48877","",""
"2806","Ὄλυμπος","Ὄλυμπος","Ὄλυμπος","4650","",""
"2809","Δημόκριτος","Δημόκριτος","Δημόκριτος","8024","",""
"2813","Μιλήσιος","Μιλήσιος","Μιλήσιος","44727","",""
"2842","Εὐφράτης","Εὐφράτης","Εὐφράτης","3087","",""
"2843","Αἰολεύς","Αἰολεύς","Αἰολεύς","48964","",""
"2849","Πειραιεύς","Πειραιεύς","Πειραιεύς","48824","",""
"2868","Ἐρασίστρατος","Ἐρασίστρατος","Ἐρασίστρατος","2982","",""
"2870","Ἐπίκουρος","Ἐπίκουρος","Ἐπίκουρος","2968","",""
"2897","Λέων","Λέων","Λέων","3861","",""
"2898","Ἡρωδιανός","Ἡρωδιανός","Ἡρωδιανός","9447","",""
"2904","Ὀλυμπιάς","Ὀλυμπιάς","Ὀλυμπιάς","4649","",""
"2909","Διογένης","Διογένης","Διογένης","2791","",""
"2934","Δίδυμος","Δίδυμος","Δίδυμος","2834","",""
"2956","Θεόπομπος","Θεόπομπος","Θεόπομπος","5499","",""
"2964","Σαβῖνος","Σαβῖνος","Σαβῖνος","7552","",""
"2965","Ὀλυμπία","Ὀλυμπία","Ὀλυμπία","48767","",""
"2984","Ἀσκληπιάδης","Ἀσκληπιάδης","Ἀσκληπιάδης","2372","",""
"2998","Ζήνων","Ζήνων","Ζήνων","6465","",""
"3004","Λυδός","Λυδός","Λυδός","43704","",""
"3013","Ἀσκληπιός","Ἀσκληπιός","Ἀσκληπιός","6666","",""
"3017","Τίτος","Τίτος","Τίτος","30827","",""
"3022","Γαλάτης","Γαλάτης","Γαλάτης","3328","",""
"3024","Ἀτρείδης","Ἀτρείδης","Ἀτρείδης","32909","",""
"3025","Ἀδάμ","Ἀδάμ","Ἀδάμ","8335","",""
"3030","Πάτροκλος","Πάτροκλος","Πάτροκλος","4975","",""
"3042","Παυσανίας","Παυσανίας","Παυσανίας","4961","",""
"3057","Ὀλύμπιος","Ὀλύμπιος","Ὀλύμπιος","4652","",""
"3073","Τυρρηνός","Τυρρηνός","Τυρρηνός","34068","",""
"3075","Πύρρος","Πύρρος","Πύρρος","5381","",""
"3092","Νικίας","Νικίας","Νικίας","4336","4336",""
"3096","Ἀαρών","Ἀαρών","Ἀαρών","8275","",""
"3099","Βυζάντιος","Βυζάντιος","Βυζάντιος","9053","",""
"3105","Καρχηδών","Καρχηδών","Καρχηδών","0","",""
"3116","Χῖος","Χῖος","Χῖος","26242","",""
"3119","Ἄραψ","Ἄραψ","Ἄραψ","39185","",""
"3120","Ἱερεμίας","Ἱερεμίας","Ἱερεμίας","3405","",""
"3122","Κάσσιος","Κάσσιος","Κάσσιος","3572","",""
"3128","Κιλικία","Κιλικία","Κιλικία","48981","",""
"3133","Φρύξ","Φρύξ","Φρύξ","48768","",""
"3139","Ἰσαάκ","Ἰσαάκ","Ἰσαάκ","3437","",""
"3141","Φοῖβος","Φοῖβος","Φοῖβος","26974","",""
"3145","Θεόφραστος","Θεόφραστος","Θεόφραστος","5493","",""
"3157","Σαλαμίς","Σαλαμίς","Σαλαμίς","34133","",""
"3162","Διομήδης","Διομήδης","Διομήδης","2796","",""
"3165","Ἀπολλόδωρος","Ἀπολλόδωρος","Ἀπολλόδωρος","2132","",""
"3167","Κικέρων","Κικέρων","Κικέρων","45229","",""
"3168","Μεγαρεύς","Μεγαρεύς","Μεγαρεύς","48841","",""
"3176","Ἀρχέλαος","Ἀρχέλαος","Ἀρχέλαος","2205","",""
"3216","Ὠκεανός","Ὠκεανός","Ὠκεανός","13116","",""
"3224","Φοινίκη","Φοινίκη","Φοινίκη","39184","",""
"3234","Ἀρκαδία","Ἀρκαδία","Ἀρκαδία","31571","",""
"3242","Γάιος","Γάιος","Γάιος","9067","",""
"3243","Σύρος","Σύρος","Σύρος","5900","",""
"3247","Σέλευκος","Σέλευκος","Σέλευκος","5738","",""
"3248","Παρθένος","Παρθένος","Παρθένος","44021","44021",""
"3263","Κροῖσος","Κροῖσος","Κροῖσος","39518","",""
"3269","Κλεομένης","Κλεομένης","Κλεομένης","3637","",""
"3280","Λάκων","Λάκων","Λάκων","3830","",""
"3299","Σκορπίος","Σκορπίος","Σκορπίος","0","",""
"3300","Τρύφων","Τρύφων","Τρύφων","6335","",""
"3310","Αἰνείας","Αἰνείας","Αἰνείας","1829","",""
"3321","Ἰωνάθης","Ἰωνάθης","Ἰωνάθης","14314","",""
"3331","Κλεοπάτρη","Κλεοπάτρη","Κλεοπάτρη","3639","",""
"3340","Ἀγρίππας","Ἀγρίππας","Ἀγρίππας","8333","",""
"3349","Ἰωνία","Ἰωνία","Ἰωνία","41617","",""
"3353","Χαλδαῖος","Χαλδαῖος","Χαλδαῖος","34672","",""
"3370","Μένανδρος","Μένανδρος","Μένανδρος","4066","",""
"3375","Ἰορδάνης","Ἰορδάνης","Ἰορδάνης","9649","",""
"3376","Πηλεύς","Πηλεύς","Πηλεύς","11581","",""
"3379","Λυσίας","Λυσίας","Λυσίας","3912","",""
"3383","Ἑκαταῖος","Ἑκαταῖος","Ἑκαταῖος","4438","",""
"3387","Ἴστρος","Ἴστρος","Ἴστρος","3462","",""
"3394","Ἀραβία","Ἀραβία","Ἀραβία","0","",""
"3405","Μάριος","Μάριος","Μάριος","3987","",""
"3429","Ἑλληνίς","Ἑλληνίς","Ἑλληνίς","9246","",""
"3431","Μεσσήνη","Μεσσήνη","Μεσσήνη","49151","",""
"3449","Λύσανδρος","Λύσανδρος","Λύσανδρος","3923","",""
"3457","Ἔφεσος","Ἔφεσος","Ἔφεσος","2904","",""
"3470","Ἀπολλώνιον","Ἀπολλώνιον","Ἀπολλώνιον","1","",""
"3475","Πίνδαρος","Πίνδαρος","Πίνδαρος","5146","",""
"3489","Ποντικός","Ποντικός","Ποντικός","5225","",""
"3493","Τηλέμαχος","Τηλέμαχος","Τηλέμαχος","6228","",""
"3503","Λατῖνος","Λατῖνος","Λατῖνος","30808","",""
"3515","Πολύβιος","Πολύβιος","Πολύβιος","5217","",""
"3517","Φρυγία","Φρυγία","Φρυγία","3317","",""
"3533","Τοξότης","Τοξότης","Τοξότης","40765","",""
"3534","Καλλίμαχος","Καλλίμαχος","Καλλίμαχος","3523","",""
"3559","Μίνως","Μίνως","Μίνως","10569","",""
"3563","Δανιήλ","Δανιήλ","Δανιήλ","2691","",""
"3588","Γάϊος","Γάϊος","Γάϊος","9067","",""
"3594","Ἀριστείδης","Ἀριστείδης","Ἀριστείδης","2257","",""
"3622","Αἰσχύλος","Αἰσχύλος","Αἰσχύλος","1839","",""
"3637","Μάρκιος","Μάρκιος","Μάρκιος","10521","",""
"3650","Ὀρέστης","Ὀρέστης","Ὀρέστης","4696","",""
"3654","Λητώ","Λητώ","Λητώ","30423","",""
"3666","Καλλίας","Καλλίας","Καλλίας","3517","",""
"3703","Μαρία","Μαρία","Μαρία","22425","",""
"3708","Ἄρειος","Ἄρειος","Ἄρειος","2227","8801",""
"3709","Σιών","Σιών","Σιών","8652","",""
"3713","Πόπλιος","Πόπλιος","Πόπλιος","11738","",""
"3726","Πατήρ","Πατήρ","Πατήρ","31058","",""
"3749","Ἡράκλειτος","Ἡράκλειτος","Ἡράκλειτος","4569","",""
"3758","Χαιρέας","Χαιρέας","Χαιρέας","2553","",""
"3771","Φάβιος","Φάβιος","Φάβιος","12712","",""
"3776","Ἐφέσιος","Ἐφέσιος","Ἐφέσιος","48746","",""
"3786","Ταραντῖνος","Ταραντῖνος","Ταραντῖνος","34674","",""
"3791","Ἀναξαγόρας","Ἀναξαγόρας","Ἀναξαγόρας","2011","",""
"3805","Ἀρμένιος","Ἀρμένιος","Ἀρμένιος","25291","",""
"3807","Κράσσος","Κράσσος","Κράσσος","25100","",""
"3829","Ὀρφεύς","Ὀρφεύς","Ὀρφεύς","4698","",""
"3868","Σάτυρος","Σάτυρος","Σάτυρος","5674","",""
"3873","Ἰσοκράτης","Ἰσοκράτης","Ἰσοκράτης","3461","",""
"3908","Τιμόθεος","Τιμόθεος","Τιμόθεος","6271","",""
"3949","Σωτήρ","Σωτήρ","Σωτήρ","5953","",""
"3952","Ἄτταλος","Ἄτταλος","Ἄτταλος","2403","",""
"3958","Τίμαιος","Τίμαιος","Τίμαιος","6249","",""
"3959","Μίλητος","Μίλητος","Μίλητος","48846","",""
"3965","Ἀρχιγένης","Ἀρχιγένης","Ἀρχιγένης","21316","",""
"3981","Τιβέριος","Τιβέριος","Τιβέριος","12546","",""
"4011","Βορέας","Βορέας","Βορέας","2517","",""
"4012","Ἀνδρόμαχος","Ἀνδρόμαχος","Ἀνδρόμαχος","1728","",""
"4019","Λυσίμαχος","Λυσίμαχος","Λυσίμαχος","3914","",""
"4024","Θέτις","Θέτις","Θέτις","37627","",""
"4051","Πάν","Πάν","Πάν","42846","",""
"4060","Θεαγένης","Θεαγένης","Θεαγένης","5477","",""
"4092","Κίλιξ","Κίλιξ","Κίλιξ","9883","",""
"4110","Ἀγαθοκλῆς","Ἀγαθοκλῆς","Ἀγαθοκλῆς","1760","",""
"4112","Ἐρατοσθένης","Ἐρατοσθένης","Ἐρατοσθένης","2985","",""
"4115","Κλέαρχος","Κλέαρχος","Κλέαρχος","3661","",""
"4136","Δῆλος","Δῆλος","Δῆλος","25417","",""
"4140","Ἀρμενία","Ἀρμενία","Ἀρμενία","8777","",""
"4151","Ἀριστόβουλος","Ἀριστόβουλος","Ἀριστόβουλος","2281","",""
"4168","Ἠσαΐας","Ἠσαΐας","Ἠσαΐας","9450","",""
"4180","Ἰώσηπος","Ἰώσηπος","Ἰώσηπος","3467","",""
"4184","Ἴδη","Ἴδη","Ἴδη","48913","",""
"4187","Σαῦλος","Σαῦλος","Σαῦλος","13456","",""
"4206","Ὑρκανός","Ὑρκανός","Ὑρκανός","4741","",""
"4215","Νέρων","Νέρων","Νέρων","10741","",""
"4228","Λυκία","Λυκία","Λυκία","10208","",""
"4246","Καλλιρρόη","Καλλιρρόη","Καλλιρρόη","18303","",""
"4267","Ῥωμύλος","Ῥωμύλος","Ῥωμύλος","11884","",""
"4278","Κύπρις","Κύπρις","Κύπρις","3799","44095",""
"4288","Ὑπερείδης","Ὑπερείδης","Ὑπερείδης","12705","",""
"4289","Εὔδοξος","Εὔδοξος","Εὔδοξος","44845","",""
"4292","Ἰάσων","Ἰάσων","Ἰάσων","3393","",""
"4293","Γοργίας","Γοργίας","Γοργίας","3357","",""
"4301","Ἰωνικός","Ἰωνικός","Ἰωνικός","40170","",""
"4303","Κρητικός","Κρητικός","Κρητικός","35605","",""
"4313","Κόνων","Κόνων","Κόνων","3732","",""
"4318","Τύρος","Τύρος","Τύρος","38857","",""
"4340","Σιμωνίδης","Σιμωνίδης","Σιμωνίδης","5768","",""
"4345","Πέλοψ","Πέλοψ","Πέλοψ","5118","",""
"4348","Ἡράκλειος","Ἡράκλειος","Ἡράκλειος","4568","",""
"4359","Πύλος","Πύλος","Πύλος","26158","",""
"4367","Ἀμαζών","Ἀμαζών","Ἀμαζών","39661","",""
"4370","Χάρις","Χάρις","Χάρις","2600","",""
"4386","Κάρ","Κάρ","Κάρ","49537","",""
"4393","Σικυώνιος","Σικυώνιος","Σικυώνιος","48893","",""
"4433","Κρατῖνος","Κρατῖνος","Κρατῖνος","3758","",""
"4435","Κυρηναῖος","Κυρηναῖος","Κυρηναῖος","35474","",""
"4439","Κλαύδιος","Κλαύδιος","Κλαύδιος","6741","",""
"4445","Ἶσις","Ἶσις","Ἶσις","3447","",""
"4452","Ἵππαρχος","Ἵππαρχος","Ἵππαρχος","3426","",""
"4463","Μαραθών","Μαραθών","Μαραθών","48915","",""
"4466","Διοκλῆς","Διοκλῆς","Διοκλῆς","2793","",""
"4467","Σικελός","Σικελός","Σικελός","38644","",""
"4481","Λύκιος","Λύκιος","Λύκιος","7102","",""
"4492","Χοσρόης","Χοσρόης","Χοσρόης","27309","",""
"4495","Κίμων","Κίμων","Κίμων","204","",""
"4502","Τύριος","Τύριος","Τύριος","38856","",""
"4508","Μήδεια","Μήδεια","Μήδεια","46133","",""
"4516","Χίος","Χίος","Χίος","26242","",""
"4520","Ἶρις","Ἶρις","Ἶρις","20627","",""
"4528","Περσίς","Περσίς","Περσίς","11488","44119",""
"4530","Κύπριος","Κύπριος","Κύπριος","3799","",""
"4542","Χαρίκλεια","Χαρίκλεια","Χαρίκλεια","48443","",""
"4565","Ἡρακλέης","Ἡρακλέης","Ἡρακλέης","4560","",""
