	
	
	
	
	
	
	
8	multiple: 8620 / 43492
9	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
42	20959
	
44	0
	
	
47	0
	
	
	
	
	
	
	
	
	
	
58	16581
59	16581
60	16581
61	16581
	
	
	
	
66	0
	
	
69	20959
	
71	20959
72	20959
73	20959
74	20959
75	20959
76	20959
77	20959
	
	
80	8279
81	12546
81	6741
81	8279
82	11846
82	8279
83	30827
83	11846
83	8279
84	3856
84	5681
84	8279
85	8279
86	8279
87	6741
87	8279
	
	
	
	
	
	
	
	
	
	
	
	
	
101	46514
102	46514
103	46514
103	5953
104	0
	
106	0
	
	
109	0
110	20964
	
	
	
114	0
115	1690
116	1690
117	0
	
	
	
	
	
	
124	0
	
	
127	0
	
	
	
	
	
	
	
135	8884
136	8884
137	8884
138	8884
139	8884
140	8884
141	8884
142	8884
143	8884
144	8884
145	7628
145	8884
146	8884
	
	
	
	
	
	
153	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
173	0
	
	
	
	
	
	
	
181	47109
	
	
184	46930
	
186	0
	
	
189	8313
190	8313
191	8313
192	8313
192	0
	
194	8313
	
196	43065
	
198	0
	
200	0
201	0
	
	
	
	
	
	
	
209	10523
209	0
209	44831
	
	
	
	
	
	
	
	
	
	
220	0
	
222	0
223	0
224	0
225	1707
	
	
228	7956
228	0
	
230	0
	
	
	
	
	
	
237	0
	
	
	
242	43576
243	43576
	
245	45878
245	24174
	
	
248	0
	
250	46463
	
252	0
	
	
	
	
	
	
	
	
	
	
	
	
	
266	0
267	3856
267	0
	
	
271	0
271	0
272	30827
272	0
272	10913
	
	
275	46770
	
277	8319
278	8319
279	8319
	
	
	
283	0
284	0
285	9067
285	39272
286	10523
286	39272
287	9136
287	39272
287	8980
288	0
289	3856
289	12839
289	0
289	10879
	
	
	
	
	
	
297	30402
	
	
	
301	0
	
	
	
	
	
	
	
	
	
	
	
	
	
315	0
316	0
317	10919
317	0
	
319	10523
319	0
319	11970
320	10523
320	0
320	35591
320	8333
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
338	3856
338	21051
339	21051
339	6963
340	3856
340	21051
340	6963
340	0
	
342	0
343	11738
343	0
343	0
	
	
	
	
	
	
	
	
	
	
	
	
	
357	21536
357	0
358	21536
358	0
358	11798
359	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
383	14342
384	45157
385	45157
	
	
388	46302
389	46302
390	46302
391	46302
	
	
	
	
396	46879
	
	
	
	
	
	
	
404	1712
405	1712
406	1712
407	1712
408	1712
409	1712
410	1712
	
	
	
	
	
	
	
	
	
420	0
	
	
423	0
	
	
	
	
428	46344
429	0
	
431	0
	
	
	
	
436	0
437	0
438	0
	
	
	
	
	
	
	
	
	
	
449	0
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
468	1716
469	1716
	
	
	
	
	
	
	
	
	
	
	
	
	
	
484	1718
485	1718
486	1718
487	1718
488	1718
489	1718
490	1718
491	1718
491	12452
492	1718
492	12452
493	0
	
	
	
497	0
	
499	0
500	0
	
